version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,180054000,-241823581.54,538573074.19,240577410.78,0,8823.7
0,0,180055000,-241823584.17,538573070.98,240577412.03,0,8634.800000000001
0,0,180056000,-241823586.74,538573069.62,240577412.57,0,8454.9
0,0,180057000,-241823588.24,538573061.55,240577412.29,0,8311.5
0,0,180058000,-241823586.6,538573050.89,240577413.6,0,8178.1
0,0,180059000,-241823584.88,538573048.25,240577416.87,0,8036.5
0,0,180060000,-241823580.49,538573036.27,240577413.94,0,7936.1
0,0,180061000,-241823591.92,538573037.68,240577407.89,0,7913.1
0,0,180062000,-241823600.62,538573055.49,240577412.28,0,7715.5
0,0,180063000,-241823591.82,538573080.54,240577420.46,0,7428.6
0,0,180064000,-241823570.07,538573048.03,240577419.91,0,7200.400000000001
0,0,180065000,-241823560.93,538573039.61,240577423.21,0,7032.5
0,0,180066000,-241823563.98,538573069.27,240577436.27,0,6866.5
0,0,180067000,-241823565.41,538573070.07,240577439.37,0,6705.400000000001
0,0,180068000,-241823567.11,538573035.52,240577416.56,0,6558.0
0,0,180069000,-241823591.08,538573040.95,240577428.65,0,6446.1
0,0,180070000,-241823591.96,538572990.75,240577419.41,0,6355.3
0,0,180071000,-241823608.27,538572984.36,240577432.52,0,6305.900000000001
0,0,180072000,-241823607.51,538572986.98,240577435.89,0,6217.0
0,0,180073000,-241823594.1,538572985.34,240577434.19,0,6096.8
0,0,180074000,-241823575.58,538572986.88,240577413.18,0,6012.8
0,0,180075000,-241823576.43,538573005.75,240577405.33,0,5919.8
0,0,180076000,-241823571.82,538573010.12,240577422.25,0,5830.0
0,0,180077000,-241823549.02,538573044.32,240577422.81,0,5717.400000000001
0,0,180078000,-241823515.54,538573088.68,240577384.62,0,5612.8
0,0,180079000,-241823449.54,538573118.17,240577348.85,0,5524.400000000001
0,0,180080000,-241823365.32,538573167.78,240577340.63,0,5429.1
0,0,180081000,-241823272.72,538573203.57,240577386.55,0,5335.700000000001
0,0,180082000,-241823167.08,538573236.47,240577452.43,0,5267.5
0,0,180083000,-241823054.67,538573271.42,240577538.43,0,5201.400000000001
0,0,180084000,-241822932.83,538573305.75,240577634.18,0,5138.200000000001
0,0,180085000,-241822822.13,538573305.56,240577729.48,0,5081.200000000001
0,0,180086000,-241822725.12,538573307.47,240577826.71,0,5041.700000000001
0,0,180087000,-241822630.35,538573335.98,240577916.0,0,5005.5
0,0,180088000,-241822529.37,538573369.75,240577998.93,0,5003.1
0,0,180089000,-241822416.4,538573406.08,240578074.1,0,4937.900000000001
0,0,180090000,-241822291.64,538573459.28,240578134.28,0,4875.6
0,0,180091000,-241822196.93,538573540.76,240578201.55,0,4810.8
0,0,180092000,-241822096.75,538573594.66,240578240.75,0,4749.1
0,0,180093000,-241821964.32,538573656.63,240578239.64,0,4692.3
0,0,180094000,-241821846.95,538573738.34,240578233.22,0,4637.1
0,0,180095000,-241821759.96,538573805.08,240578202.9,0,4607.2
0,0,180096000,-241821661.11,538573883.53,240578151.17,0,4582.7
0,0,180097000,-241821565.61,538573964.39,240578087.53,0,4545.6
0,0,180098000,-241821492.73,538574055.79,240578028.43,0,4506.2
0,0,180099000,-241821424.45,538574145.65,240577953.3,0,4455.3
0,0,180100000,-241821345.63,538574232.6,240577875.48,0,4410.7
0,0,180101000,-241821266.89,538574311.72,240577800.36,0,4376.5
0,0,180102000,-241821194.95,538574396.11,240577731.17,0,4340.400000000001
0,0,180103000,-241821116.18,538574481.19,240577670.33,0,4302.7
0,0,180104000,-241821026.32,538574568.51,240577609.65,0,4270.0
0,0,180105000,-241820927.63,538574656.12,240577536.39,0,4241.3
0,0,180106000,-241820823.73,538574735.57,240577452.52,0,4227.1
0,0,180107000,-241820714.01,538574820.98,240577380.89,0,4222.8
0,0,180108000,-241820618.64,538574890.31,240577314.01,0,4238.8
0,0,180109000,-241820527.21,538574964.9,240577245.96,0,4281.2
0,0,180110000,-241820435.4,538575044.97,240577173.02,0,4329.6
0,0,180111000,-241820332.83,538575114.77,240577098.49,0,4372.1
0,0,180112000,-241820241.23,538575196.94,240577018.43,0,4439.1
0,0,180113000,-241820152.77,538575280.09,240576932.62,0,4518.1
0,0,180114000,-241820075.81,538575373.4,240576846.99,0,4559.5
0,0,180115000,-241820000.51,538575446.78,240576755.49,0,4625.5
0,0,180116000,-241819939.31,538575539.56,240576667.38,0,4690.7
0,0,180117000,-241819914.44,538575681.37,240576568.42,0,4732.8
0,0,180118000,-241819939.67,538575727.75,240576466.1,0,4813.1
0,0,180119000,-241820013.19,538575721.31,240576372.84,0,4876.8
0,0,180120000,-241820130.39,538575745.41,240576282.84,0,4855.5
0,0,180121000,-241820259.69,538575780.13,240576215.96,0,4806.8
0,0,180122000,-241820356.59,538575791.25,240576178.84,0,4778.400000000001
0,0,180123000,-241820469.69,538575760.1,240576163.12,0,4797.900000000001
0,0,180124000,-241820590.99,538575693.06,240576164.91,0,4791.6
0,0,180125000,-241820708.34,538575595.09,240576153.8,0,4792.1
0,0,180126000,-241820844.07,538575637.44,240576192.66,0,4735.8
0,0,180127000,-241820960.69,538575597.5,240576225.88,0,4667.2
0,0,180128000,-241821074.66,538575536.01,240576265.66,0,4588.400000000001
0,0,180129000,-241821180.75,538575440.03,240576322.33,0,4493.2
0,0,180130000,-241821267.59,538575316.98,240576355.53,0,4409.2
0,0,180131000,-241821368.27,538575276.69,240576365.35,0,4338.400000000001
0,0,180132000,-241821460.15,538575180.27,240576369.52,0,4269.900000000001
0,0,180133000,-241821467.71,538575099.73,240576408.12,0,4209.3
0,0,180134000,-241821502.78,538575003.72,240576444.53,0,4194.7
0,0,180135000,-241821615.76,538574941.01,240576508.01,0,4189.5
0,0,180136000,-241821633.35,538574727.96,240576525.65,0,4195.8
0,0,180137000,-241821726.64,538574668.91,240576579.37,0,4173.900000000001
0,0,180138000,-241821825.16,538574583.42,240576630.87,0,4134.7
0,0,180139000,-241821928.21,538574509.56,240576688.1,0,4103.1
0,0,180140000,-241822037.23,538574536.88,240576795.73,0,4130.900000000001
0,0,180141000,-241822093.85,538574543.4,240576841.87,0,4147.5
0,0,180142000,-241822124.45,538574445.36,240576847.39,0,4127.400000000001
0,0,180143000,-241822201.48,538574374.88,240576883.51,0,4091.1
0,0,180144000,-241822284.94,538574305.47,240576913.08,0,4061.7
0,0,180145000,-241822350.34,538574276.06,240576932.78,0,4027.2
0,0,180146000,-241822394.36,538574231.71,240576942.72,0,3999.1
0,0,180147000,-241822446.41,538574185.14,240576948.33,0,3967.8
0,0,180148000,-241822494.43,538574136.97,240576956.19,0,3943.6
0,0,180149000,-241822548.32,538574091.83,240576975.35,0,3922.5
0,0,180150000,-241822603.91,538574040.37,240576991.01,0,3907.9
0,0,180151000,-241822664.38,538573866.56,240577026.49,0,3894.3
0,0,180152000,-241822715.7,538573785.69,240577122.43,0,3880.9
0,0,180153000,-241822732.94,538573729.76,240577228.02,0,3865.2
0,0,180154000,-241822705.49,538573689.23,240577348.25,0,3853.3
0,0,180155000,-241822645.26,538573684.18,240577467.58,0,3842.6
0,0,180156000,-241822563.52,538573622.02,240577570.86,0,3839.8
0,0,180157000,-241822482.93,538573581.06,240577675.4,0,3842.9
0,0,180158000,-241822451.57,538573505.07,240577763.79,0,3813.2
0,0,180159000,-241822397.98,538573472.41,240577859.3,0,3785.8
0,0,180160000,-241822326.73,538573431.73,240577937.2,0,3779.5
0,0,180161000,-241822173.74,538573436.53,240577987.63,0,3772.6
0,0,180162000,-241822018.14,538573440.16,240578050.65,0,3776.6
0,0,180163000,-241821875.75,538573494.53,240578112.77,0,3762.7
0,0,180164000,-241821724.49,538573494.08,240578130.19,0,3733.0
0,0,180165000,-241821587.45,538573563.26,240578109.85,0,3714.1
0,0,180166000,-241821426.08,538573622.84,240578095.82,0,3697.4
0,0,180167000,-241821316.65,538573659.25,240578050.43,0,3680.2
0,0,180168000,-241821224.37,538573729.66,240577997.0,0,3657.3
0,0,180169000,-241821151.05,538573820.93,240577945.2,0,3618.8
0,0,180170000,-241821095.75,538573911.22,240577883.68,0,3570.9
0,0,180171000,-241821027.06,538574027.54,240577794.09,0,3555.0
0,0,180172000,-241820945.86,538574058.0,240577677.9,0,3549.4
0,0,180173000,-241820877.61,538574128.67,240577605.94,0,3520.4
0,0,180174000,-241820808.57,538574230.93,240577542.97,0,3483.3
0,0,180175000,-241820708.27,538574248.65,240577440.0,0,3460.6
